CardNo,Food&Grocery,DepartmentStores,Travelservice,Transportation,Food&Grocery_F,DepartmentStores_F,Travelservice_F,Transportation_F
20,373082,372872,51858,284399,0,22,48,10
54,592173,290140,4180,188133,16,18,45,25
45,624339,229124,405021,495772,1,4,2,41
63,529728,478621,14314,79514,33,24,9,27
66,741581,479319,300456,40823,22,0,28,18
20,284733,216860,340134,418207,47,9,35,43
69,30699,212708,223919,2877,24,40,22,49
44,657264,429971,325412,142873,1,35,29,0
97,15329,8187,347774,35676,31,39,33,47
56,317365,428621,394647,309330,48,3,35,29
42,53180,498845,40196,222362,36,21,31,22
76,286970,227551,439260,386372,8,42,18,41
53,7308,61962,6356,350531,46,44,12,40
66,121598,123864,147100,31134,43,2,41,30
26,142238,295537,9737,170032,12,3,35,3
32,955993,23197,403723,417163,16,37,26,1
99,364655,54025,292229,51676,5,47,46,4
48,475324,373725,193710,254235,21,32,13,13
34,965158,322129,338594,324536,13,28,42,44
32,813584,126223,396480,368530,40,30,32,46
2,337608,160829,57806,250214,48,30,35,50
35,36184,458051,97618,249825,20,18,30,6
27,967844,240478,456864,352407,17,47,28,16
82,548083,287285,63574,222044,34,47,25,12
4,771425,401937,396043,488146,8,17,35,19
14,685939,325714,464188,140116,48,20,5,22
35,613956,149980,355163,146967,48,35,0,28
33,247800,424167,79322,53403,44,23,9,21
8,325956,69632,132832,340374,18,46,29,14
15,521768,106596,218317,29990,6,43,28,41
23,501867,272684,2529,385694,23,13,42,6
100,872117,459299,484719,491148,37,20,15,13
92,889466,480268,275976,255805,7,10,50,10
30,393977,185142,475143,28044,31,18,23,48
18,787439,150524,73678,14263,11,35,46,18
67,963207,279166,346361,338099,2,3,40,43
40,896428,285663,480911,59709,6,22,47,8
15,984243,68539,75682,333693,41,30,44,25
45,849427,138145,413242,284745,17,7,48,14
7,714127,56699,278384,106642,36,12,38,36
50,783471,364580,425905,204013,45,2,26,16
89,544580,146330,304774,126055,6,27,24,29
14,924344,201822,254944,210237,7,46,31,0
67,525627,299345,385997,160845,0,48,14,22
77,123296,111674,462595,282377,40,33,12,29
79,574381,442680,20069,440065,26,35,47,49
54,508906,27669,194644,48787,26,31,27,13
70,731898,497697,220998,240963,39,39,19,20
42,63310,254312,21478,22737,13,39,37,38
71,901393,107517,397930,55574,46,34,9,22
90,680742,200632,287721,195487,6,26,33,39
22,254552,152425,386955,368982,40,45,33,41
27,563863,156244,6401,431391,49,15,7,43
20,852193,178442,244700,156198,36,11,41,10
96,121791,239666,403528,143422,18,20,13,15
91,554509,250680,494760,497650,35,21,31,30
82,580427,411389,307073,489755,40,48,46,50
55,448743,71524,330190,136176,45,24,42,32
87,543922,64078,122446,471496,33,21,37,18
20,393033,447232,247871,269845,6,28,15,31
53,764688,390807,94299,297628,26,15,23,7
50,849771,326048,474072,445805,49,42,33,47
56,412515,21177,4531,130123,19,32,3,49
57,586049,280319,30787,400110,0,25,35,26
32,471446,281476,238892,315062,14,9,13,32
59,569266,335754,155478,268768,40,23,20,21
85,341358,426161,492828,124449,35,34,31,2
42,139938,217520,484177,475877,39,37,42,16
63,851385,46552,12114,378878,38,19,48,35
40,349050,147294,221259,118190,11,13,37,40
9,290958,151622,39141,38922,29,48,39,4
83,892396,182890,175543,402145,5,21,50,36
95,584186,143579,183016,459434,43,22,13,44
44,938396,395352,339151,122275,13,9,32,41
50,742409,156090,255384,206972,25,50,40,32
37,48488,463215,115479,280271,36,38,50,2
29,362126,259414,226194,178394,35,36,2,20
35,440876,73311,178533,345160,46,21,32,35
2,340269,458695,499553,204997,23,7,35,0
86,799974,28435,26221,219064,2,47,14,45
85,571202,258711,92251,429085,15,5,33,4
36,327110,108365,403522,453889,38,4,31,33
67,100415,450368,302019,240987,35,31,8,50
33,544957,329118,441652,424508,10,41,38,50
39,735015,496326,372643,27408,5,22,50,23
2,681790,120579,430777,398398,5,29,42,18
27,162648,80876,424968,414858,13,27,34,19
56,85390,52308,405835,403212,5,3,24,15
1,186025,113304,210595,173390,9,29,48,9
48,754358,296726,37771,17982,1,27,50,9
69,232844,375593,125697,249908,2,1,47,42
76,571468,126191,240821,244084,20,11,36,34
16,109487,420971,470470,121047,44,43,26,3
96,414934,1575,306126,124920,40,18,39,7
62,305765,416016,362921,332840,5,33,36,23
40,884859,463694,73661,212737,19,28,31,42
17,567263,478087,479146,337621,34,13,18,47
94,680550,81874,49198,143750,48,35,10,17
21,987140,363927,244307,353355,4,45,6,9
10,606779,25464,47464,303781,20,2,19,26
37,351892,482216,94972,82114,0,30,42,24
59,71494,291345,303313,303178,42,13,1,37
88,742458,320425,463202,303602,16,45,48,7
46,702319,263683,391793,447438,40,14,7,7
82,545703,128122,442287,247632,6,31,8,17
34,183545,378870,157755,186655,41,6,14,9
1,689933,288186,312791,82611,35,15,47,3
14,568960,379664,293829,258788,1,20,35,50
44,465414,133430,372683,492191,21,10,33,40
2,519074,136347,160148,147374,49,37,7,1
18,126372,247947,96954,251332,11,14,1,20
12,145156,90480,293465,50501,17,17,49,49
95,259591,194720,77977,128484,10,27,25,17
5,308518,97799,260837,183773,9,24,15,42
15,827275,368501,378605,200010,14,22,11,29
82,353878,252640,222849,303022,19,20,11,22
44,794490,215904,284201,454499,47,36,21,24
20,773406,116891,252594,352592,21,20,27,22
84,296197,143454,18530,21372,50,15,42,43
34,266427,234309,23878,399978,36,34,29,5
73,613223,244905,100971,183923,30,49,30,45
99,33123,226331,420267,168093,12,43,18,42
4,553540,287507,360610,430467,48,41,16,50
9,13390,361658,105795,190953,5,29,36,35
9,683869,164561,386258,377993,26,6,4,17
46,639824,499506,138900,198297,23,35,6,37
77,751148,30217,212677,134957,18,45,47,38
21,642492,89615,249215,338801,14,21,15,26
59,364021,309170,412795,288686,47,48,6,16
19,539364,92216,448433,221869,2,5,37,28
68,876662,16011,456455,138348,8,6,41,29
4,827153,262648,422841,444290,6,24,43,32
50,502493,319165,189319,297123,33,23,48,18
57,100876,240540,188230,352803,17,7,40,28
38,70371,355608,194634,52769,25,24,41,12
21,564978,437131,254556,117202,7,21,33,7
21,873247,203200,497312,170585,17,7,21,37
17,733564,229590,95525,474089,7,32,21,4
81,617350,476099,308534,107897,20,4,40,35
65,771949,233477,289746,479821,47,17,34,24
17,192331,249239,52068,166723,1,49,26,50
62,516516,227367,358254,146269,9,50,50,30
33,498900,284590,155727,168020,49,1,12,2
55,975959,73373,76392,46332,47,25,4,42
40,805499,114274,185706,84326,47,37,11,27
82,205860,397893,464841,372147,25,18,29,4
87,489963,293615,383601,210393,8,0,10,2
65,142454,435330,38882,19771,46,15,31,28
48,752334,125879,79092,196489,18,0,23,19
56,953238,368478,311143,204813,1,45,40,15
68,172836,255444,472019,374760,48,25,19,49
37,25263,430180,40448,286922,20,24,32,36
86,312166,48053,339705,103997,31,11,26,33
47,70608,427230,408088,182798,31,43,15,6
14,902668,16995,146108,366281,4,35,33,37
51,327323,57278,487773,270983,10,29,26,34
68,317667,298688,133098,414486,44,4,44,42
11,208606,268818,182433,463321,46,45,21,45
33,706415,237182,218612,182109,50,44,41,18
70,378834,451828,300508,321816,0,44,32,48
43,483980,356448,126872,286204,41,18,43,44
29,379123,189013,277664,302460,20,47,36,21
12,324558,304384,230371,335439,3,6,17,31
50,994528,274107,53377,484252,7,20,46,22
15,744376,361007,197998,274136,25,18,37,21
42,347561,351686,442196,199519,29,50,45,37
66,113592,253110,457178,470128,44,3,8,0
47,657014,122337,98945,286194,50,12,47,24
15,107830,192278,186809,80792,22,20,35,10
23,46141,115699,37845,81954,9,41,23,32
39,317392,205999,441597,493821,40,10,36,50
25,189838,472484,495311,130149,15,45,7,7
40,859638,111678,454173,244164,20,48,1,43
69,816895,413527,412990,356906,36,43,24,7
91,286834,359981,189278,108018,30,50,23,47
7,631695,160529,94684,454333,42,49,30,26
33,12993,361427,112071,491112,12,27,0,26
1,481435,318466,361848,495767,34,15,0,32
26,579584,293692,40903,379644,47,47,4,44
38,102354,325551,196199,52664,19,46,35,1
8,787760,446512,52258,445922,38,7,50,23
51,454342,222939,134021,49101,1,27,5,47
58,505745,397207,493081,280366,12,43,46,41
98,61217,25419,229259,306701,43,21,8,32
51,541934,168180,292653,110772,30,43,7,41
4,367962,476643,466714,110888,1,2,23,49
5,600134,14664,394365,417361,42,16,12,15
7,501003,421010,12382,86979,0,28,22,0
9,12077,337680,196779,27564,11,36,28,10
84,958652,400237,385991,263204,13,22,28,26
1,698196,445565,486016,492122,28,14,4,11
80,291936,499514,226699,226250,24,27,34,36
81,930843,474473,297847,288852,7,16,29,28
27,277973,297726,62973,435333,17,49,25,31
80,770133,271290,191190,352581,38,50,42,50
66,95897,272784,353157,252720,36,11,26,17
30,82907,184235,275944,89530,38,19,42,11
75,637075,438885,316060,404736,37,29,36,21
86,426622,59866,380989,348027,11,6,37,3
52,5349,242604,447943,497709,20,20,0,19
28,635049,318731,94323,300509,6,42,7,15
14,68472,471817,421036,351396,3,28,50,21
71,49499,353987,61094,56171,31,26,11,4
60,328464,171334,271779,259002,45,47,26,31
73,131721,441959,398958,100764,1,5,6,8
34,496656,355137,227403,451746,28,4,32,15
7,822122,465033,28689,327193,21,31,16,26
77,739707,333628,445467,408714,35,22,30,20
10,884482,65022,24238,24942,45,7,46,12
40,247447,169298,181262,463750,8,28,11,2
74,536616,479107,45954,480736,7,40,37,8
37,344260,452706,476408,182608,20,27,38,2
11,601679,65729,327151,370162,10,24,1,6
51,995745,77208,222796,110644,25,25,25,0
71,939041,30029,463606,398523,2,25,20,28
66,65001,443170,188853,376608,31,43,10,6
85,4328,178205,92227,257662,17,5,33,37
30,752264,255579,159679,317425,6,3,32,18
94,538517,308790,5818,177665,32,35,39,47
23,152361,391386,294210,305610,9,11,4,14
10,854694,422640,410273,262658,40,41,33,12
48,22131,310309,16683,491376,19,7,32,16
63,252670,459129,96299,447693,23,27,16,49
22,540240,404196,56985,149731,21,0,23,17
4,286040,345799,235078,409029,6,41,35,36
51,831641,21751,26274,65791,9,19,50,33
62,989271,454732,164353,407969,41,27,11,23
91,225249,47047,246826,223785,1,45,20,37
67,565181,459037,264268,474439,22,12,27,10
27,914216,238862,355199,444461,37,42,9,50
92,272738,264924,319541,111385,49,45,39,15
59,831921,73577,317574,257029,46,33,21,36
77,443858,292259,372938,465991,36,21,26,23
70,972611,354958,357842,293588,8,45,43,18
48,314235,92823,123795,5089,26,26,47,34
48,43094,20263,20390,462132,18,48,39,20
39,60643,29710,51864,306715,6,8,18,5
39,591599,52249,108568,327536,14,32,7,42
53,495338,212578,420864,239492,21,45,8,10
61,622595,2006,439733,4821,4,1,8,41
21,941999,256372,165873,219005,42,34,22,17
60,63860,397328,192316,325092,47,44,48,33
8,87829,440615,304509,272913,7,45,15,27
18,336340,197258,238326,458834,35,8,2,41
68,19245,422426,352310,2511,18,5,15,24
69,111536,405387,225368,93930,10,9,32,31
53,165950,49745,319122,330969,11,35,7,48
23,188453,54865,210283,444535,12,16,16,24
8,727663,227469,24607,381072,49,28,15,28
23,236876,367297,336560,472511,19,6,50,19
43,82469,474555,389198,327153,12,36,20,48
87,30495,188787,70096,403984,3,34,47,12
18,184548,235991,231571,335936,45,10,28,23
92,217623,50483,363076,220879,21,17,3,0
5,576224,461617,267639,414065,2,21,13,19
11,774807,251629,249515,360252,29,14,9,0
63,155029,161165,49270,350835,36,27,47,35
25,76287,342127,304551,304655,22,26,45,19
63,556350,388961,476873,413344,21,8,46,39
38,147050,293213,334139,44405,38,30,25,26
84,7547,395086,249337,268365,9,22,21,17
51,697145,1300,134380,119942,4,30,3,48
63,867157,315550,291514,466617,47,7,0,23
21,148399,216388,147084,449892,41,33,19,16
48,135374,20320,194977,496725,9,14,37,33
87,140816,425484,387920,141002,21,17,18,42
69,877701,423672,276641,359617,28,3,43,1
89,164403,438866,378163,190899,43,17,6,4
41,376168,210040,264141,111011,48,4,4,0
68,613480,216236,33696,297213,33,39,37,2
61,561348,384734,251664,97121,21,10,26,45
22,955439,257060,63770,498848,43,40,30,2
53,798491,111931,88087,464068,49,45,35,44
68,986245,348868,485807,101190,44,27,22,13
2,833194,312335,296406,447488,12,2,7,14
20,592725,185754,145036,289236,35,7,24,10
43,842393,14761,22948,258328,8,2,48,8
78,729979,411572,233338,155884,21,4,10,8
97,296971,365339,53187,332275,11,39,31,48
29,764264,215872,269782,469923,49,36,47,25
80,200551,315654,41943,132134,6,46,49,47
39,131797,180753,445967,165057,27,27,20,27
34,218142,228286,106535,108834,26,15,4,0
45,766650,491711,457439,41234,10,47,9,7
79,7151,41032,146513,181685,17,1,44,1
60,691712,241200,63802,458767,39,12,50,46
41,486121,126610,140625,481703,3,10,19,12
12,921544,358695,215322,58379,15,23,20,32
69,863575,424665,445935,473072,20,42,15,36
36,661359,442239,294097,323277,11,8,5,40
74,556164,229965,383604,482292,29,47,31,8
70,109716,73059,179515,187242,25,31,50,0
64,973156,312354,246856,497794,13,35,9,7
94,781497,204169,117624,93320,44,26,19,49
86,870198,258352,47693,175559,12,12,42,48
70,600924,195802,354115,385935,43,16,4,30
33,181657,444556,326718,189677,23,38,18,24
18,400913,53065,353327,23682,41,38,44,0
41,45948,332835,64264,487246,5,32,39,23
38,374447,314860,38696,186355,24,42,50,36
9,25808,465575,38177,51318,17,19,44,19
69,316611,266371,41247,406792,40,40,35,25
62,194977,105262,394065,295723,41,26,39,47
7,673027,251631,65589,132535,41,28,45,22
81,979114,320977,5404,133959,45,14,28,15
4,863634,156806,380834,243357,17,34,0,3
14,82799,459746,64336,198643,0,42,32,44
55,611985,310837,15930,155698,9,15,37,38
3,952373,33465,427535,76130,50,44,27,18
28,2601,307690,204362,4015,0,41,27,34
75,478035,102564,346786,146275,13,10,47,36
86,275699,426138,146441,29725,12,30,37,8
45,755697,191713,399562,133453,19,8,50,6
41,404012,499069,473526,141556,12,35,6,8
52,952594,146696,143193,430822,13,25,4,23
50,875189,238041,337491,55100,3,20,37,11
97,659529,346485,196619,124662,9,19,4,44
26,810589,130964,61179,25489,17,28,4,35
55,591161,352392,188901,333969,22,43,39,14
61,213426,215297,467249,264461,20,30,34,7
52,404042,383922,143845,477222,9,45,32,6
32,272436,157527,119755,373560,4,47,29,5
70,545827,5956,118517,63544,31,39,27,37
3,909093,396350,226586,228487,36,31,15,2
75,999496,336904,10951,79807,42,31,44,43
21,194475,394062,143069,48264,42,15,11,15
12,130445,5384,262860,454397,39,24,33,0
3,564823,183358,14876,467166,1,13,23,22
1,434502,2211,328094,438522,47,26,36,12
27,511633,47635,399011,270511,5,14,28,30
86,189395,73495,261508,268470,38,27,46,44
64,332643,367860,197973,38323,18,14,2,21
65,964864,153518,117833,188829,27,47,12,7
40,714466,451413,247047,377262,20,32,38,39
37,796669,136934,181291,304549,13,33,12,14
79,127083,204407,166346,82887,37,49,22,47
36,992515,78276,276712,336063,2,14,6,44
57,886374,252816,456543,215344,49,40,47,44
92,943767,292668,327613,419237,50,46,32,27
26,65608,376270,303769,454430,14,13,18,44
91,662296,120135,219373,183717,5,24,23,8
88,383309,216330,9525,119566,41,26,23,13
8,758672,432557,322722,467487,37,11,13,42
36,576330,115831,164887,49363,47,40,29,40
16,203681,377794,418180,260835,43,40,8,18
64,287841,352980,4875,169849,48,5,40,13
11,963204,11121,302877,93380,25,1,45,9
32,4573,51316,363662,83509,8,45,25,24
11,725260,196047,131923,177465,33,7,16,1
90,301658,280434,179819,59297,41,24,20,25
73,722347,121812,254811,239799,10,25,12,24
14,472733,51252,393871,330830,7,48,22,3
42,631683,85270,418494,220440,40,1,2,36
51,304091,50200,229155,432982,39,48,8,4
35,766694,492863,70963,199281,48,0,36,16
33,201926,428355,337748,250697,40,5,26,11
62,75933,221692,468252,150699,20,31,14,41
70,398957,151520,32833,475621,4,9,36,16
27,677916,225265,352688,497586,30,30,33,45
86,489340,345517,169330,481406,42,24,1,17
84,884224,212567,377401,77884,10,3,50,27
70,897976,15349,98293,335480,48,33,22,31
69,517238,72449,330946,386339,39,29,50,32
33,51743,138147,125159,369480,36,35,43,16
17,196455,357700,203774,468133,16,46,35,6
38,346277,96188,485398,171481,18,49,5,41
4,548149,303895,4967,221637,48,0,17,41
81,493493,29311,396769,36871,26,34,46,31
1,652124,201773,11219,286803,3,40,29,6
1,383971,4559,208855,200860,38,32,23,29
18,657160,203254,220942,21593,23,37,43,12
62,236475,366958,196721,461295,36,0,17,14
29,319671,250536,113186,489277,13,5,13,6
12,957478,198575,105694,105649,14,22,25,42
51,210174,25445,425013,27538,40,16,35,36
76,359758,55991,62956,158678,21,13,20,6
75,716754,318165,371102,50035,12,25,7,25
9,145297,419299,413647,27893,50,38,20,21
92,497089,276756,227659,140979,42,50,9,31
95,438343,292002,94824,311159,13,33,50,37
5,199522,82942,188805,462890,18,7,20,13
99,645132,371501,330242,145633,23,39,28,6
59,613546,487152,210043,171377,34,10,35,28
26,643264,28191,158424,79016,32,14,50,17
85,710929,53928,270547,153541,8,19,48,21
69,782734,108930,111949,474614,32,40,45,32
10,606270,214810,86943,408427,2,11,36,29
92,69349,322365,458713,370628,17,2,48,29
54,371253,292370,276968,19583,33,6,27,8
33,747595,181375,327877,84055,31,30,15,22
62,967222,359291,415641,126784,37,33,29,29
82,492367,316805,251357,20759,23,21,48,34
96,668452,388362,221009,352581,14,22,30,43
1,636552,339540,203364,348956,0,28,34,31
53,101867,461850,5405,241004,27,41,16,35
17,523815,100437,358403,144437,12,24,17,38
83,61573,365624,293802,202075,11,5,39,42
15,793639,473174,75192,186073,25,26,35,11
28,218095,39023,38258,453988,38,17,3,3
25,429530,89901,58582,391130,29,0,30,38
39,647444,375252,299417,312132,20,47,2,31
61,872953,477900,332216,436090,21,8,11,40
63,184906,128977,158191,383314,31,25,30,42
88,707336,343960,345427,422145,10,38,40,39
39,158940,242906,6697,97503,28,33,32,0
28,21058,406833,332890,160398,16,37,7,2
12,293763,128970,423289,306596,16,18,12,16
100,879342,394167,484370,172897,11,9,26,46
2,962621,153142,496437,228488,43,45,45,38
70,576431,64367,174458,117536,3,39,44,9
9,520517,166893,42997,339342,9,39,12,40
40,846086,233755,253605,341098,49,45,2,45
39,904124,489469,492822,261297,37,23,14,3
99,715638,141369,337493,71521,47,10,13,34
34,832160,179981,241275,46811,49,0,33,39
41,572571,56447,222731,61950,18,32,45,17
70,811675,99171,219305,383991,9,44,3,9
80,539466,73569,144053,362136,47,35,20,30
69,310128,69614,395384,194956,35,10,23,8
19,830351,177216,408056,392061,45,42,0,19
6,211194,18084,10981,247011,21,46,1,46
55,186914,28070,147867,335704,24,8,12,8
9,370732,262546,299859,64773,9,4,1,28
10,205161,297958,143936,25062,32,5,28,22
72,330917,472220,248065,11852,34,6,1,35
8,690942,286672,20766,293958,33,26,5,0
79,153281,235941,495479,489273,23,41,13,47
29,596212,402650,25638,103828,45,48,40,28
28,779107,270523,148185,181623,10,17,36,20
79,447112,299075,211027,68316,35,24,42,49
49,217795,56300,84015,22736,47,49,37,1
100,981081,78761,310937,76683,32,35,36,46
34,365338,16025,69029,473024,4,6,48,0
97,354708,324103,126322,167217,49,49,43,43
75,46705,240621,321159,418073,48,9,46,26
10,299285,464518,215038,268153,11,45,49,6
99,404024,391252,227213,450710,32,13,13,50
58,909679,362670,336645,175106,18,29,27,30
